"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","95","test_select","lesson_09","2025-12-30","passed","2025-12-30","","test_database","",""
"","91","test_delete","lesson_09","2025-12-30","passed","2025-12-30","","test_database","",""
"","293","Получение организации по id","lesson_09","2025-12-30","passed","2025-12-30","TestCompany","Тесты на работу с компаниями","",""
"","92","test_update","lesson_09","2025-12-30","passed","2025-12-30","","test_database","",""
"","530","test_db_connection","lesson_09","2025-12-30","passed","2025-12-30","","test_database","",""
"","92","test_select_1_row","lesson_09","2025-12-30","passed","2025-12-30","","test_database","",""
"Запрос организаций с параметром active = true","99","Получение списка активных организаций","lesson_09","2025-12-30","passed","2025-12-30","TestCompany","Тесты на работу с компаниями","",""
"","92","test_select_1_row_with_two_filters","lesson_09","2025-12-30","passed","2025-12-30","","test_database","",""
"","134","Получение полного списка организаций","lesson_09","2025-12-30","passed","2025-12-30","TestCompany","Тесты на работу с компаниями","",""
"","788","Создание организации","lesson_09","2025-12-30","passed","2025-12-30","TestCompany","Тесты на работу с компаниями","",""
"","101","test_insert","lesson_09","2025-12-30","passed","2025-12-30","","test_database","",""
